,convert,E83A,"change,turn: person"
,Corinth,EA59,"full: cup,drink: village: many,much: neighbor: house: near,close"
,Cornelius,EB81,"man: sun,day"
,corner,EB83,"clothing,fabric"
,cornerstone,E21C,"very: hard: soft: no,not: thing"
,correct,E09A,good
,Cosam,EC59,"man: many,much"
,couch,EB5F,"big: chair,sit"
,council,E0F7,"body: forward,to; person"
,counted,EBC0,very: measure
,country,E0A2,"big: land,ground,earth,space"
,countrymen,E157,"friend: person: love,compassion: land,ground,earth,space"
,countryside,EB96,"big: farm,field: grain,wheat: land,ground,earth,space"
,courage,E196,"no,not: afraid,fear: mouth,said,speak,confession: heart"
,courtyard,E0F6,"land,ground,earth,space"
,covenant,E21D,"promise: mouth,said,speak,confession: very: work,do"
,cover,E39A,straight: thing
,covet,E022,"desire,like,want: heart: love,compassion: you: thing"
,cow,EB36,
,create,E076,hand: person
,creation,EBC3,"person: thing: all,whole"
,Creator,EC22,"God: king,lord,ruler,master: man: build: house: make,create: hand: person: love,compassion"
,credit,EBC0,very: measure
,Crescan,ECAF,"Man: grow: up: land,ground,earth,space"
,Crete,EC8D,"flesh: soft: person: island: water,wet: land,ground,earth,space"
,Crispus,EB3A,"man: crooked: no,not: straight"
,criticize,E055,"Mouth,said,speak,confession: bad: no,not: good"
,crooked,EB39,"no,not: straight"
,cross,E038,
,crowd,E128,people
,crown,EDA4,"Thing: king,lord,ruler,master"
,crucify,E03C,"kill,destroy,destruction: knife,cut: person: cross"
,crush,E146,person: thing
,cry,E20C,"sad,grieve: water,wet"
,cup,E274,
,curse,E05A,"mouth,said,speak,confession: bad: no,not: good: fire,heat,hot"
,curtain,E254,"clothing,fabric: window"
,Cush,EDCA,"man: all,whole: moon,night"
,Cush_land,E1E2,"Land: man: all,whole: moon,night"
,Cush_man,EDCA,"Man: all,whole: moon,night"
,cushion,E26C,soft: head: face
,custom,EB10,"all,whole: work,do"
,cut,E24E,
,cymbal,EBE3,"hand: sound,noise: ear,hear: thing"
,cypress,EDCB,"Sad,grieve: tree,plant,wood"
,Cyprus,EB88,"good: island: water,wet: land,ground.earth,space: tree,plant,wood"
,Cyrene,EB59,"Horse: tie,knot: land,ground,earth,space"
,Dalmanutha,E344,"shout: big: mouth,said,speak,confession: land,ground,earth,space"
,Dalmatia,ECB1,"deceive.deception,false,lead_astray,lie: bad: no,not: good: measure: village: many,much: neighbor: house: near,close"
,Damaris,EB37,woman: cow
,Damascus,EC31,"blood: hand: water,wet: village: many,much: neighbor: house: near,close"
,Dan_land,EDCC,"King,lord,ruler,master: or: earth,ground,land,space"
,Dan_man,EDCD,"Man: king,lord,ruler,master: or"
,dance,E259,"walk: happy,joy: face"
,Daniel,EA78,"man: me,I: or"
,dark,EA17,"no,not: light: eye,see: sun,day"
,daughter,E00C,"small: woman: love,compassion"
,daughters,E00D,"small: woman: love,compassion"
,David,E35E,"man: appointed: call,beckon: mouth,said,speak,confession: near,close: person"
,day,E15F,
,deacon,E12D,"Person: love,compassion: work,do"
,dead,E181,"no,not: heart"
,deaf,E191,"no,not: ear,hear"
,death,E181,"no,not: heart"
,Deborah,EFB5,"Woman: judge: king,lord,ruler,master: or"
,Decapolis,E33E,"ten: land,ground,earth,space"
,deceive,E17F,"no,not: good: measure"
,deceiver,E152,"person: no,not: good: measure: deceive,deception,lie,false,lead_astray"
,deception,E17F,"no,not: good: measure"
,Dedan,EDCE,"Man: forward,to"
,deep,E321,
,deer,EFB6,"Fast_speed: very: forward,to: animal"
,Demes,ECB2,Man: people
,Demetrius,EB1A,"man: sow,to_plant: hand: seed: tree,plant,wood: small,few"
,demon,EB87,"bad: no,not: good: spirit: person"
,denarius,E165,"sun,day: money,wealth,wealthy"
,deny,E0E5,"no,not: mouth,said,speak,confession: know,knowledge"
,depart,E243,"door: forward,to"
,depth,E321,
,Derbe,EB43,"flesh: soft: person: village: many,much: neighbor: house: near,close"
,descend,E317,Down
,descendant,EB60,"future: time: forward,to: children: small,few: people"
,desert,E156,"land,ground,earth,space: no,not: tree,plant,wood"
,deserve,E0F5,"money,wealth,wealthy: work,do"
,desire,E020,"love,compassion: heart"
,destroy,E141,"knife,cut: person"
